"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"456081130396327936","","","2014-04-15 14:46:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The ""Tolkien of the future"" @lab_normals speaking of The Culture, The Culture #codesignesad http://t.co/Nla0WDu8Ik","","","","http://twitter.com/v3ga/status/456081130396327936/photo/1"
"456007986977468416","","","2014-04-15 09:55:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Warning @lab_normals is in da house. #codesignesad cc @motiondesign_01","","","",""
"455983697872035840","","","2014-04-15 08:19:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stéphane @chevalvert s'apprête à présenter ""la culture du code"" #codedesignesad http://t.co/YUGDxtYvHX","","","","http://twitter.com/v3ga/status/455983697872035840/photo/1"
"455809350112919552","","","2014-04-14 20:46:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","À la coule à Amiens avec @chevalvert @motiondesign_01 @prototypoApp pour #codesignesad","","","",""
"454970557159981057","","","2014-04-12 13:13:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Got my hands on @mslima ""The book of trees"" @LibrairieMollat http://t.co/9PfFEty1Cu","","","","http://twitter.com/v3ga/status/454970557159981057/photo/1"
"453296352064471040","453275806585090049","40197991","2014-04-07 22:20:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Enroweb ça aurait été beau de passer de la 1.2.3 à la 4.5.6","","","",""
"452905196793131008","","","2014-04-06 20:26:28 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @golan: Of possible interest, my presentation from #malofiej22 about graffiti+infovis: http://t.co/7DKaRsUnFF","452900586397376512","6490642","2014-04-06 20:08:08 +0000","http://www.scribd.com/doc/216637979/Golan-Levin-presentation-from-Malofiej-22-2014,http://www.scribd.com/doc/216637979/Golan-Levin-presentation-from-Malofiej-22-2014"
"452823184577163264","452806712534523904","27342429","2014-04-06 15:00:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@Jean_no J'adore quand ça se produit.","","","",""
"452533376369836032","","","2014-04-05 19:48:59 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I'll be there. #res15 cc @norette","","","",""
"451816641203298304","451816060288000000","26740297","2014-04-03 20:20:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@arctic_sunrise say hi to the guys!","","","",""
"451813023335071744","451797062951378944","26740297","2014-04-03 20:06:33 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@arctic_sunrise Le can... Ah shit ! Not there. Jealous not to be with you guys.","","","",""
"451812175427174401","","","2014-04-03 20:03:11 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Monument Valley is beautiful — http://t.co/kyZTZ6W9Lw (via @lennyjpg)","","","","http://bit.ly/1kvLbOh"
"450945211133591552","","","2014-04-01 10:38:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SylvieTissot: Lire, écrire, compter... coder ! sur @franceinfo http://t.co/VRcuMHgjue | demain @LeCnam @Cap_Digital @Inria","450939693493149696","82133915","2014-04-01 10:16:15 +0000","http://www.franceinfo.fr/education-jeunesse/question-d-education/lire-ecrire-compter-coder-1370593-2014-04-01,http://www.franceinfo.fr/education-jeunesse/question-d-education/lire-ecrire-compter-coder-1370593-2014-04-01"
"450282983170506752","","","2014-03-30 14:46:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @zachlieberman: Openframeworks 0.8.1 is out now: http://t.co/1GKSV1yrlL  tons of bug fixes and improvements","450277878584721408","52789379","2014-03-30 14:26:26 +0000","http://www.openframeworks.cc/download/,http://www.openframeworks.cc/download/"
